iter	Passed	Remaining
811	73023	106836
812	73098	106725
813	73177	106619
814	73268	106531
815	73371	106459
816	73451	106355
817	73541	106267
818	73624	106166
819	73703	106061
820	73785	105960
821	73860	105848
822	73940	105744
823	74026	105650
824	74113	105555
825	74192	105449
826	74273	105348
827	74358	105251
828	74439	105149
829	74524	105052
830	74601	104944
831	74679	104838
832	74765	104743
833	74839	104631
834	74919	104528
835	75002	104429
836	75102	104353
837	75186	104256
838	75268	104156
839	75345	104048
840	75418	103935
841	75509	103848
842	75595	103753
843	75676	103651
844	75749	103539
845	75825	103431
846	75896	103315
847	75977	103214
848	76048	103099
849	76134	103005
850	76218	102907
851	76298	102806
852	76368	102689
853	76443	102580
854	76522	102477
855	76630	102413
856	76707	102306
857	76802	102224
858	76880	102119
859	76968	102028
860	77044	101920
861	77115	101806
862	77192	101700
863	77270	101596
864	77354	101500
865	77430	101393
866	77494	101269
867	77561	101151
868	77634	101040
869	77710	100934
870	77788	100830
871	77859	100717
872	77928	100602
873	78004	100495
874	78080	100389
875	78159	100286
876	78239	100186
877	78304	100066
878	78378	99956
879	78458	99856
880	78532	99747
881	78600	99631
882	78665	99512
883	78734	99397
884	78809	99291
885	78886	99187
886	78961	99080
887	79049	98989
888	79131	98891
889	79211	98791
890	79279	98676
891	79348	98563
892	79422	98455
893	79508	98362
894	79587	98261
895	79663	98156
896	79729	98039
897	79806	97935
898	79882	97831
899	79962	97732
900	80041	97631
901	80123	97533
902	80202	97432
903	80282	97333
904	80364	97236
905	80448	97141
906	80531	97045
907	80611	96946
908	80689	96844
909	80764	96740
910	80842	96638
911	80920	96537
912	80994	96430
913	81074	96331
914	81155	96233
915	81235	96134
916	81319	96040
917	81377	95915
918	81453	95812
919	81536	95716
920	81617	95619
921	81693	95515
922	81770	95413
923	81842	95305
924	81919	95203
925	81997	95102
926	82071	94997
927	82151	94899
928	82230	94799
929	82314	94706
930	82389	94601
931	82467	94501
932	82543	94399
933	82622	94299
934	82705	94204
935	82775	94094
936	82854	93995
937	82935	93898
938	83008	93793
939	83089	93696
940	83166	93595
941	83246	93497
942	83329	93403
943	83404	93299
944	83488	93206
945	83560	93099
946	83633	92995
947	83711	92895
948	83787	92793
949	83861	92689
950	83934	92584
951	84010	92481
952	84092	92387
953	84167	92283
954	84238	92176
955	84317	92078
956	84393	91977
957	84462	91868
958	84528	91756
959	84609	91660
960	84683	91557
961	84753	91449
962	84833	91351
963	84913	91255
964	84995	91161
965	85079	91068
966	85158	90970
967	85235	90870
968	85310	90768
969	85381	90662
970	85448	90552
971	85519	90446
972	85591	90342
973	85665	90238
974	85746	90143
975	85823	90044
976	85899	89943
977	85989	89858
978	86081	89774
979	86164	89681
980	86235	89575
981	86306	89470
982	86386	89374
983	86463	89275
984	86542	89177
985	86643	89103
986	86733	89018
987	86817	88926
988	86898	88832
989	86972	88729
990	87043	88624
991	87134	88539
992	87209	88438
993	87281	88334
994	87346	88224
995	87418	88120
996	87494	88021
997	87560	87911
998	87642	87818
999	87716	87716
1000	87784	87609
1001	87868	87517
1002	87939	87413
1003	88026	87324
1004	88096	87220
1005	88176	87124
1006	88251	87024
1007	88323	86921
1008	88402	86825
1009	88469	86718
1010	88544	86617
1011	88640	86538
1012	88716	86439
1013	88805	86353
1014	88883	86255
1015	88958	86156
1016	89034	86058
1017	89108	85957
1018	89187	85861
1019	89258	85758
1020	89342	85667
1021	89418	85569
1022	89492	85468
1023	89577	85378
1024	89655	85281
1025	89740	85192
1026	89812	85090
1027	89883	84987
1028	89947	84877
1029	90031	84786
1030	90096	84678
1031	90175	84583
1032	90253	84486
1033	90323	84383
1034	90401	84287
1035	90478	84190
1036	90562	84100
1037	90636	84000
1038	90723	83912
1039	90807	83822
1040	90886	83727
1041	90952	83620
1042	91033	83527
1043	91105	83426
1044	91178	83325
1045	91258	83232
1046	91344	83143
1047	91424	83049
1048	91504	82956
1049	91586	82863
1050	91654	82759
1051	91728	82660
1052	91803	82562
1053	91876	82462
1054	91948	82361
1055	92017	82258
1056	92091	82159
1057	92171	82066
1058	92249	81970
1059	92334	81881
1060	92412	81786
1061	92488	81689
1062	92567	81595
1063	92647	81501
1064	92727	81408
1065	92792	81301
1066	92864	81201
1067	92945	81110
1068	93029	81019
1069	93107	80925
1070	93172	80819
1071	93247	80721
1072	93328	80629
1073	93403	80532
1074	93485	80440
1075	93566	80348
1076	93641	80251
1077	93719	80157
1078	93799	80064
1079	93873	79966
1080	93941	79863
1081	94023	79772
1082	94095	79672
1083	94165	79571
1084	94246	79479
1085	94323	79384
1086	94397	79286
1087	94482	79198
1088	94563	79107
1089	94654	79023
1090	94734	78930
1091	94811	78836
1092	94873	78728
1093	94946	78629
1094	95014	78527
1095	95102	78442
1096	95181	78348
1097	95253	78250
1098	95337	78161
1099	95407	78060
1100	95487	77968
1101	95561	77871
1102	95636	77774
1103	95714	77681
1104	95789	77584
1105	95864	77488
1106	95943	77395
1107	96024	77304
1108	96104	77212
1109	96182	77119
1110	96256	77022
1111	96337	76931
1112	96412	76835
1113	96494	76744
1114	96563	76644
1115	96640	76550
1116	96716	76455
1117	96790	76359
1118	96865	76263
1119	96935	76163
1120	96999	76059
1121	97075	75964
1122	97142	75862
1123	97230	75777
1124	97308	75684
1125	97377	75584
1126	97450	75487
1127	97527	75393
1128	97606	75301
1129	97703	75222
1130	97789	75135
1131	97863	75039
1132	97939	74945
1133	98015	74851
1134	98093	74758
1135	98178	74671
1136	98263	74583
1137	98331	74483
1138	98405	74387
1139	98483	74294
1140	98562	74202
1141	98634	74105
1142	98715	74015
1143	98813	73937
1144	98897	73848
1145	98972	73754
1146	99055	73665
1147	99142	73579
1148	99209	73479
1149	99294	73391
1150	99368	73296
1151	99446	73203
1152	99522	73109
1153	99598	73015
1154	99676	72923
1155	99759	72834
1156	99842	72745
1157	99922	72654
1158	99997	72560
1159	100072	72466
1160	100138	72365
1161	100216	72273
1162	100281	72171
1163	100361	72081
1164	100440	71989
1165	100523	71901
1166	100612	71816
1167	100691	71725
1168	100767	71632
1169	100841	71536
1170	100913	71441
1171	100996	71352
1172	101076	71261
1173	101147	71164
1174	101225	71072
1175	101309	70985
1176	101392	70897
1177	101459	70798
1178	101544	70710
1179	101624	70620
1180	101701	70528
1181	101770	70430
1182	101854	70342
1183	101930	70249
1184	102006	70156
1185	102084	70065
1186	102158	69970
1187	102224	69870
1188	102300	69777
1189	102376	69684
1190	102456	69594
1191	102538	69505
1192	102614	69413
1193	102687	69318
1194	102762	69225
1195	102834	69129
1196	102915	69040
1197	102996	68951
1198	103072	68858
1199	103145	68763
1200	103224	68672
1201	103313	68589
1202	103380	68490
1203	103453	68396
1204	103537	68308
1205	103625	68224
1206	103703	68133
1207	103775	68038
1208	103852	67946
1209	103930	67855
1210	104014	67768
1211	104103	67684
1212	104183	67594
1213	104253	67498
1214	104331	67407
1215	104400	67310
1216	104472	67215
1217	104557	67129
1218	104628	67034
1219	104700	66939
1220	104789	66855
1221	104871	66767
1222	104952	66678
1223	105023	66583
1224	105099	66491
1225	105176	66400
1226	105256	66310
1227	105331	66218
1228	105407	66126
1229	105478	66031
1230	105565	65946
1231	105634	65850
1232	105707	65756
1233	105789	65668
1234	105863	65575
1235	105943	65486
1236	106021	65395
1237	106102	65307
1238	106181	65216
1239	106261	65128
1240	106343	65039
1241	106420	64949
1242	106496	64857
1243	106567	64763
1244	106645	64672
1245	106726	64584
1246	106802	64492
1247	106890	64408
1248	106965	64316
1249	107048	64228
1250	107130	64141
1251	107204	64048
1252	107272	63952
1253	107350	63862
1254	107429	63773
1255	107508	63683
1256	107568	63582
1257	107647	63492
1258	107714	63396
1259	107794	63308
1260	107870	63216
1261	107954	63130
1262	108038	63044
1263	108115	62953
1264	108178	62854
1265	108253	62762
1266	108331	62673
1267	108405	62581
1268	108465	62480
1269	108537	62387
1270	108613	62296
1271	108708	62216
1272	108790	62129
1273	108858	62033
1274	108934	61943
1275	109004	61849
1276	109087	61762
1277	109180	61680
1278	109280	61603
1279	109360	61515
1280	109441	61427
1281	109518	61336
1282	109604	61251
1283	109684	61163
1284	109755	61069
1285	109835	60981
1286	109916	60893
1287	109988	60801
1288	110063	60709
1289	110138	60619
1290	110230	60536
1291	110313	60450
1292	110390	60360
1293	110476	60275
1294	110555	60186
1295	110636	60099
1296	110709	60006
1297	110800	59924
1298	110870	59830
1299	110957	59746
1300	111025	59651
1301	111106	59564
1302	111182	59473
1303	111263	59385
1304	111342	59297
1305	111430	59213
1306	111504	59122
1307	111584	59034
1308	111653	58939
1309	111727	58848
1310	111817	58765
1311	111893	58675
1312	111969	58585
1313	112050	58498
1314	112125	58407
1315	112204	58318
1316	112283	58230
1317	112356	58138
1318	112434	58049
1319	112514	57961
1320	112593	57873
1321	112671	57784
1322	112746	57694
1323	112815	57600
1324	112893	57511
1325	112969	57422
1326	113052	57335
1327	113135	57249
1328	113209	57158
1329	113275	57063
1330	113355	56975
1331	113437	56889
1332	113510	56798
1333	113585	56707
1334	113653	56614
1335	113727	56523
1336	113810	56437
1337	113886	56347
1338	113960	56256
1339	114037	56167
1340	114115	56079
1341	114196	55992
1342	114273	55903
1343	114345	55811
1344	114420	55721
1345	114513	55640
1346	114594	55553
1347	114675	55466
1348	114752	55377
1349	114826	55286
1350	114905	55198
1351	114973	55105
1352	115053	55018
1353	115119	54924
1354	115200	54837
1355	115277	54748
1356	115349	54657
1357	115426	54568
1358	115503	54479
1359	115583	54392
1360	115660	54303
1361	115731	54212
1362	115798	54118
1363	115872	54028
1364	115948	53939
1365	116023	53849
1366	116101	53761
1367	116171	53669
1368	116243	53579
1369	116317	53488
1370	116392	53399
1371	116471	53312
1372	116542	53221
1373	116627	53135
1374	116700	53045
1375	116783	52960
1376	116860	52871
1377	116957	52791
1378	117033	52703
1379	117115	52617
1380	117190	52528
1381	117271	52441
1382	117347	52352
1383	117428	52265
1384	117507	52178
1385	117587	52091
1386	117657	52000
1387	117736	51912
1388	117814	51824
1389	117893	51737
1390	117972	51650
1391	118033	51554
1392	118110	51466
1393	118184	51377
1394	118253	51285
1395	118343	51203
1396	118425	51117
1397	118497	51026
1398	118579	50940
1399	118661	50855
1400	118768	50779
1401	118857	50696
1402	118935	50608
1403	119016	50522
1404	119097	50436
1405	119171	50347
1406	119258	50262
1407	119322	50169
1408	119400	50082
1409	119482	49996
1410	119556	49906
